# V_set	V_set_0	I	V_0	V_1	t
# "V_appl"	"V_appl"	"I_meas"	"V_appl"	"V_appl"	"Elapsed time"
# 201	201
-1	-1	-0.001	-1	0	88.2006331579998
-1	-0.99	-0.001	-1	0	88.202118207
-1	-0.98	-0.001	-1	0	88.203645049
-1	-0.97	-0.001	-1	0	88.2053102099999
-1	-0.96	-0.001	-1	0	88.20713578
-1	-0.95	-0.001	-1	0	88.2089107219999
-1	-0.94	-0.001	-1	0	88.2105323399999
-1	-0.93	-0.001	-1	0	88.212128978
-1	-0.92	-0.001	-1	0	88.2137340479999
-1	-0.91	-0.001	-1	0	88.21510681
-1	-0.9	-0.001	-1	0	88.2166982609999
-1	-0.89	-0.001	-1	0	88.218329477
-1	-0.88	-0.001	-1	0	88.2200115789999
-1	-0.87	-0.001	-1	0	88.2215188959999
-1	-0.86	-0.001	-1	0	88.22299847
-1	-0.85	-0.001	-1	0	88.2245887510001
-1	-0.84	-0.001	-1	0	88.2263551189999
-1	-0.83	-0.001	-1	0	88.2282352499999
-1	-0.82	-0.001	-1	0	88.2300616919999
-1	-0.81	-0.001	-1	0	88.2316728579999
-1	-0.8	-0.001	-1	0	88.2334660039999
-1	-0.79	-0.001	-1	0	88.2349887159999
-1	-0.78	-0.001	-1	0	88.2366856029998
-1	-0.77	-0.001	-1	0	88.2383737979999
-1	-0.76	-0.001	-1	0	88.239908412
-1	-0.75	-0.001	-1	0	88.241446799
-1	-0.74	-0.001	-1	0	88.243168215
-1	-0.73	-0.001	-1	0	88.2448782039999
-1	-0.72	-0.001	-1	0	88.246562305
-1	-0.71	-0.001	-1	0	88.248285591
-1	-0.7	-0.001	-1	0	88.2498709229999
-1	-0.69	-0.001	-1	0	88.2514839159999
-1	-0.68	-0.001	-1	0	88.2531815099999
-1	-0.67	-0.001	-1	0	88.2548815959999
-1	-0.66	-0.001	-1	0	88.2565696219999
-1	-0.65	-0.001	-1	0	88.2582958200001
-1	-0.64	-0.001	-1	0	88.2598796559998
-1	-0.63	-0.001	-1	0	88.261590912
-1	-0.62	-0.001	-1	0	88.263339679
-1	-0.61	-0.001	-1	0	88.264969117
-1	-0.6	-0.001	-1	0	88.2667025979999
-1	-0.59	-0.001	-1	0	88.2682678789999
-1	-0.58	-0.001	-1	0	88.2700893050001
-1	-0.57	-0.001	-1	0	88.27162907
-1	-0.56	-0.001	-1	0	88.2733933869999
-1	-0.55	-0.001	-1	0	88.2750845769999
-1	-0.54	-0.001	-1	0	88.2768196869999
-1	-0.53	-0.001	-1	0	88.2787018019999
-1	-0.52	-0.001	-1	0	88.2805579119999
-1	-0.51	-0.001	-1	0	88.282035403
-1	-0.5	-0.001	-1	0	88.283732373
-1	-0.49	-0.001	-1	0	88.285236192
-1	-0.48	-0.001	-1	0	88.2869459169999
-1	-0.47	-0.001	-1	0	88.2889107659998
-1	-0.46	-0.001	-1	0	88.29063511
-1	-0.45	-0.001	-1	0	88.292348618
-1	-0.44	-0.001	-1	0	88.2940551059999
-1	-0.43	-0.001	-1	0	88.2957875069999
-1	-0.42	-0.001	-1	0	88.2972315449999
-1	-0.41	-0.001	-1	0	88.298968695
-1	-0.4	-0.001	-1	0	88.3007093429999
-1	-0.39	-0.001	-1	0	88.302319443
-1	-0.38	-0.001	-1	0	88.3039435589999
-1	-0.37	-0.001	-1	0	88.3056644619999
-1	-0.36	-0.001	-1	0	88.3073408539999
-1	-0.35	-0.001	-1	0	88.308968172
-1	-0.34	-0.001	-1	0	88.3107309059999
-1	-0.33	-0.001	-1	0	88.312414175
-1	-0.32	-0.001	-1	0	88.3141177339999
-1	-0.31	-0.001	-1	0	88.315805666
-1	-0.3	-0.001	-1	0	88.3175057389999
-1	-0.29	-0.001	-1	0	88.3192564779999
-1	-0.28	-0.001	-1	0	88.320937753
-1	-0.27	-0.001	-1	0	88.3226832549999
-1	-0.26	-0.001	-1	0	88.3243889749999
-1	-0.25	-0.001	-1	0	88.3260772199999
-1	-0.24	-0.001	-1	0	88.327787016
-1	-0.23	-0.001	-1	0	88.3295071559999
-1	-0.22	-0.001	-1	0	88.3312060619999
-1	-0.21	-0.001	-1	0	88.3329122129999
-1	-0.2	-0.001	-1	0	88.3346140159999
-1	-0.19	-0.001	-1	0	88.336297521
-1	-0.18	-0.001	-1	0	88.3379763729999
-1	-0.17	-0.001	-1	0	88.3397035840001
-1	-0.16	-0.001	-1	0	88.3414073649999
-1	-0.15	-0.001	-1	0	88.3431230639999
-1	-0.14	-0.001	-1	0	88.344804504
-1	-0.13	-0.001	-1	0	88.3464914439999
-1	-0.12	-0.001	-1	0	88.3481944319999
-1	-0.11	-0.001	-1	0	88.3497307979999
-1	-0.1	-0.001	-1	0	88.351210865
-1	-0.09	-0.001	-1	0	88.3528998499999
-1	-0.08	-0.001	-1	0	88.354595949
-1	-0.07	-0.001	-1	0	88.356148462
-1	-0.0599999999999999	-0.001	-1	0	88.357929951
-1	-0.0499999999999999	-0.001	-1	0	88.3596733719999
-1	-0.04	-0.001	-1	0	88.3615293589999
-1	-0.03	-0.001	-1	0	88.3632452919999
-1	-0.02	-0.001	-1	0	88.365113761
-1	-0.01	-0.001	-1	0	88.3670060949999
-1	0	-0.001	-1	0	88.3689350980001
-1	0.01	-0.001	-1	0	88.3710008169999
-1	0.02	-0.001	-1	0	88.3728800209999
-1	0.03	-0.001	-1	0	88.3747606499999
-1	0.04	-0.001	-1	0	88.376622907
-1	0.05	-0.001	-1	0	88.378483984
-1	0.0600000000000001	-0.001	-1	0	88.3803417189999
-1	0.0700000000000001	-0.001	-1	0	88.3822016189999
-1	0.0800000000000001	-0.001	-1	0	88.384013932
-1	0.0900000000000001	-0.001	-1	0	88.38587798
-1	0.1	-0.001	-1	0	88.38785861
-1	0.11	-0.001	-1	0	88.389791324
-1	0.12	-0.001	-1	0	88.3916511719999
-1	0.13	-0.001	-1	0	88.393496275
-1	0.14	-0.001	-1	0	88.3953746079999
-1	0.15	-0.001	-1	0	88.3970775569999
-1	0.16	-0.001	-1	0	88.3989663709999
-1	0.17	-0.001	-1	0	88.4009296259999
-1	0.18	-0.001	-1	0	88.40256191
-1	0.19	-0.001	-1	0	88.4042678139999
-1	0.2	-0.001	-1	0	88.4058447569998
-1	0.21	-0.001	-1	0	88.4073232809999
-1	0.22	-0.001	-1	0	88.408889886
-1	0.23	-0.001	-1	0	88.410396898
-1	0.24	-0.001	-1	0	88.4117878739999
-1	0.25	-0.001	-1	0	88.413487394
-1	0.26	-0.001	-1	0	88.415690131
-1	0.27	-0.001	-1	0	88.417259754
-1	0.28	-0.001	-1	0	88.4188274579999
-1	0.29	-0.001	-1	0	88.4204404049999
-1	0.3	-0.001	-1	0	88.4219232829998
-1	0.31	-0.001	-1	0	88.4234109940001
-1	0.32	-0.001	-1	0	88.4248629599999
-1	0.33	-0.001	-1	0	88.426305985
-1	0.34	-0.001	-1	0	88.4277721429999
-1	0.35	-0.001	-1	0	88.4292285009999
-1	0.36	-0.001	-1	0	88.430569852
-1	0.37	-0.001	-1	0	88.43202316
-1	0.38	-0.001	-1	0	88.4334890719999
-1	0.39	-0.001	-1	0	88.4349387979998
-1	0.4	-0.001	-1	0	88.4363753529999
-1	0.41	-0.001	-1	0	88.437571831
-1	0.42	-0.001	-1	0	88.4390114379999
-1	0.43	-0.001	-1	0	88.4403947129999
-1	0.44	-0.001	-1	0	88.4417087299998
-1	0.45	-0.001	-1	0	88.44313287
-1	0.46	-0.001	-1	0	88.4445535679999
-1	0.47	-0.001	-1	0	88.446074487
-1	0.48	-0.001	-1	0	88.4476337379999
-1	0.49	-0.001	-1	0	88.4490507959999
-1	0.5	-0.001	-1	0	88.450707276
-1	0.51	-0.001	-1	0	88.4521661029999
-1	0.52	-0.001	-1	0	88.453754526
-1	0.53	-0.001	-1	0	88.4553835719998
-1	0.54	-0.001	-1	0	88.45702873
-1	0.55	-0.001	-1	0	88.4587208949999
-1	0.56	-0.001	-1	0	88.4604925470001
-1	0.57	-0.001	-1	0	88.462237794
-1	0.58	-0.001	-1	0	88.463867465
-1	0.59	-0.001	-1	0	88.4655829169999
-1	0.6	-0.001	-1	0	88.4673343959998
-1	0.61	-0.001	-1	0	88.469136807
