# V_set	V_set_0	I	V_0	V_1	t
# "V_appl"	"V_appl"	"I_meas"	"V_appl"	"V_appl"	"Elapsed time"
# 201	201
-1	-1	-0.001	-1	0	3.423596206
-1	-0.99	-0.001	-1	0	3.435843803
-1	-0.98	-0.001	-1	0	3.446586465
-1	-0.97	-0.001	-1	0	3.459159175
-1	-0.96	-0.001	-1	0	3.471985325
-1	-0.95	-0.001	-1	0	3.484974507
-1	-0.94	-0.001	-1	0	3.49722128
-1	-0.93	-0.001	-1	0	3.509149399
-1	-0.92	-0.001	-1	0	3.522292362
-1	-0.91	-0.001	-1	0	3.533366928
-1	-0.9	-0.001	-1	0	3.54405858
-1	-0.89	-0.001	-1	0	3.554659155
-1	-0.88	-0.001	-1	0	3.566956025
-1	-0.87	-0.001	-1	0	3.578772865
-1	-0.86	-0.001	-1	0	3.589253076
-1	-0.85	-0.001	-1	0	3.600227858
-1	-0.84	-0.001	-1	0	3.61315372
-1	-0.83	-0.001	-1	0	3.625289626
-1	-0.82	-0.001	-1	0	3.637941595
-1	-0.81	-0.001	-1	0	3.649393053
-1	-0.8	-0.001	-1	0	3.660781243
-1	-0.79	-0.001	-1	0	3.673682567
-1	-0.78	-0.001	-1	0	3.68601958
-1	-0.77	-0.001	-1	0	3.699339682
-1	-0.76	-0.001	-1	0	3.710593098
-1	-0.75	-0.001	-1	0	3.723840681
-1	-0.74	-0.001	-1	0	3.735346965
-1	-0.73	-0.001	-1	0	3.748649797
-1	-0.72	-0.001	-1	0	3.761353665
-1	-0.71	-0.001	-1	0	3.772104284
-1	-0.7	-0.001	-1	0	3.783278001
-1	-0.69	-0.001	-1	0	3.794499345
-1	-0.68	-0.001	-1	0	3.805418252
-1	-0.67	-0.001	-1	0	3.81716842
-1	-0.66	-0.001	-1	0	3.828647357
-1	-0.65	-0.001	-1	0	3.841852403
-1	-0.64	-0.001	-1	0	3.853536108
-1	-0.63	-0.001	-1	0	3.86665665
-1	-0.62	-0.001	-1	0	3.877570825
-1	-0.61	-0.001	-1	0	3.888203151
-1	-0.6	-0.001	-1	0	3.899433598
-1	-0.59	-0.001	-1	0	3.911005418
-1	-0.58	-0.001	-1	0	3.922588303
-1	-0.57	-0.001	-1	0	3.933811848
-1	-0.56	-0.001	-1	0	3.94450692
-1	-0.55	-0.001	-1	0	3.955599681
-1	-0.54	-0.001	-1	0	3.966369233
-1	-0.53	-0.001	-1	0	3.977515184
-1	-0.52	-0.001	-1	0	3.99066006
-1	-0.51	-0.001	-1	0	4.003785707
-1	-0.5	-0.001	-1	0	4.014543806
-1	-0.49	-0.001	-1	0	4.027253425
-1	-0.48	-0.001	-1	0	4.038638385
-1	-0.47	-0.001	-1	0	4.051536895
-1	-0.46	-0.001	-1	0	4.062959761
-1	-0.45	-0.001	-1	0	4.07581632
-1	-0.44	-0.001	-1	0	4.087209988
-1	-0.43	-0.001	-1	0	4.098271251
-1	-0.42	-0.001	-1	0	4.109205643
-1	-0.41	-0.001	-1	0	4.120357075
-1	-0.4	-0.001	-1	0	4.133671681
-1	-0.39	-0.001	-1	0	4.145450377
-1	-0.38	-0.001	-1	0	4.158580413
-1	-0.37	-0.001	-1	0	4.169445934
-1	-0.36	-0.001	-1	0	4.18240091
-1	-0.35	-0.001	-1	0	4.194790003
-1	-0.34	-0.001	-1	0	4.205758701
-1	-0.33	-0.001	-1	0	4.21889378
-1	-0.32	-0.001	-1	0	4.230850043
-1	-0.31	-0.001	-1	0	4.24358023
-1	-0.3	-0.001	-1	0	4.254420966
-1	-0.29	-0.001	-1	0	4.266970441
-1	-0.28	-0.001	-1	0	4.27764509
-1	-0.27	-0.001	-1	0	4.288403086
-1	-0.26	-0.001	-1	0	4.300287956
-1	-0.25	-0.001	-1	0	4.311034205
-1	-0.24	-0.001	-1	0	4.323627502
-1	-0.23	-0.001	-1	0	4.336756612
-1	-0.22	-0.001	-1	0	4.349868623
-1	-0.21	-0.001	-1	0	4.361351175
-1	-0.2	-0.001	-1	0	4.374107288
-1	-0.19	-0.001	-1	0	4.385990783
-1	-0.18	-0.001	-1	0	4.396821889
-1	-0.17	-0.001	-1	0	4.409063624
-1	-0.16	-0.001	-1	0	4.420859506
-1	-0.15	-0.001	-1	0	4.433627252
-1	-0.14	-0.001	-1	0	4.444350797
-1	-0.13	-0.001	-1	0	4.45746467
-1	-0.12	-0.001	-1	0	4.46928577
-1	-0.11	-0.001	-1	0	4.480314612
-1	-0.1	-0.001	-1	0	4.492913863
-1	-0.09	-0.001	-1	0	4.506036736
-1	-0.08	-0.001	-1	0	4.517703491
-1	-0.07	-0.001	-1	0	4.529614205
-1	-0.0599999999999999	-0.001	-1	0	4.542452497
-1	-0.0499999999999999	-0.001	-1	0	4.554449878
-1	-0.04	-0.001	-1	0	4.566968727
-1	-0.03	-0.001	-1	0	4.578691455
-1	-0.02	-0.001	-1	0	4.59134682
-1	-0.01	-0.001	-1	0	4.603994316
-1	0	-0.001	-1	0	4.615946493
-1	0.01	-0.001	-1	0	4.627881563
-1	0.02	-0.001	-1	0	4.638500651
-1	0.03	-0.001	-1	0	4.649029359
